status	key	command
Suggestion	Down	PredictAndConvert
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Suggestion	Ctrl n	PredictAndConvert
Composition	Space	Convert
Conversion	Shift Left	SegmentWidthShrink
Conversion	Ctrl a	SegmentFocusFirst
Conversion	Ctrl Left	SegmentFocusFirst
Conversion	Left	SegmentFocusLeft
Conversion	Ctrl e	SegmentFocusLast
Conversion	Ctrl Right	SegmentFocusLast
Conversion	End	SegmentFocusLast
Conversion	Ctrl f	SegmentFocusRight
Conversion	Right	SegmentFocusRight
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Conversion	Up	ConvertPrev
Conversion	Ctrl p	ConvertPrev
Conversion	Shift Up	ConvertPrevPage
Prediction	Ctrl Delete	DeleteSelectedCandidate
Conversion	Ctrl n	ConvertNext
Conversion	Down	ConvertNext
Conversion	Space	ConvertNext
Conversion	Ctrl Down	CommitOnlyFirstSegment
Precomposition	Backspace	Revert
Composition	Backspace	Backspace
Composition	Ctrl Backspace	Backspace
Composition	Ctrl h	Backspace
Precomposition	Space	InsertSpace
Composition	F2	ConvertWithoutHistory
Precomposition	Ctrl Backspace	Undo
Composition	Ctrl Enter	Commit
Conversion	Ctrl Enter	Commit
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	Ctrl d	Delete
Composition	Delete	Delete
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Conversion	Backspace	Cancel
Conversion	Ctrl Backspace	Cancel
Conversion	Ctrl g	Cancel
Conversion	Ctrl h	Cancel
Conversion	Delete	Cancel
Composition	ESC	Cancel
Conversion	ESC	Cancel
Composition	Ctrl a	MoveCursorToBeginning
Composition	Ctrl Left	MoveCursorToBeginning
Composition	Left	MoveCursorLeft
Composition	Shift Left	MoveCursorLeft
Composition	Ctrl Down	MoveCursorToEnd
Composition	Ctrl e	MoveCursorToEnd
Composition	Ctrl Right	MoveCursorToEnd
Composition	Down	MoveCursorToEnd
Composition	End	MoveCursorToEnd
Composition	Ctrl f	MoveCursorRight
Composition	Right	MoveCursorRight
DirectInput	F13	IMEOn
DirectInput	Hankaku/Zenkaku	IMEOn
DirectInput	Henkan	IMEOn
DirectInput	Hiragana	IMEOn
Precomposition	Hankaku/Zenkaku	IMEOff
Composition	Hankaku/Zenkaku	IMEOff
Conversion	Hankaku/Zenkaku	IMEOff
Precomposition	Muhenkan	IMEOff
Composition	Ctrl b	MoveCursorLeft
Composition	ASCII	InsertCharacter
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	ASCII	InsertCharacter
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
